YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,5,16,6,UA,1511,N18220,PHX,ORD,1413,1417.0,4.0,11.0,1428.0,207.0,192.0,171.0,1440,1919.0,10.0,1940,1929.0,-11.0,0,0,,,,,,
2015,4,7,2,AA,343,N3ALAA,LGA,ORD,1630,1704.0,34.0,31.0,1735.0,170.0,184.0,137.0,733,1852.0,16.0,1820,1908.0,48.0,0,0,,14.0,0.0,0.0,34.0,0.0
2015,1,8,4,OO,2640,N988CA,ORD,ICT,835,1113.0,158.0,16.0,1129.0,120.0,119.0,99.0,588,1308.0,4.0,1035,1312.0,157.0,0,0,,0.0,0.0,0.0,6.0,151.0
2015,5,5,2,OO,5219,N971SW,SBN,ORD,622,616.0,-6.0,10.0,626.0,44.0,39.0,24.0,84,550.0,5.0,606,555.0,-11.0,0,0,,,,,,
2015,9,22,2,DL,134,N3736C,PHX,DTW,1003,959.0,-4.0,19.0,1018.0,226.0,219.0,193.0,1671,1631.0,7.0,1649,1638.0,-11.0,0,0,,,,,,
2015,12,22,2,AA,333,N3BFAA,BOS,LAX,1000,1002.0,2.0,17.0,1019.0,396.0,390.0,368.0,2611,1327.0,5.0,1336,1332.0,-4.0,0,0,,,,,,
2015,6,17,3,OO,6530,N143SY,SFO,MCI,1620,1633.0,13.0,19.0,1652.0,225.0,214.0,187.0,1499,2159.0,8.0,2205,2207.0,2.0,0,0,,,,,,
2015,5,24,7,MQ,3045,N644MQ,DFW,SAF,1830,1833.0,3.0,12.0,1845.0,117.0,99.0,80.0,551,1905.0,7.0,1927,1912.0,-15.0,0,0,,,,,,
2015,8,15,6,AA,691,N584UW,ORD,CLT,900,858.0,-2.0,13.0,911.0,122.0,100.0,79.0,599,1130.0,8.0,1202,1138.0,-24.0,0,0,,,,,,
2015,1,12,1,WN,1789,N7726A,EWR,BNA,1810,2007.0,117.0,13.0,2020.0,160.0,139.0,121.0,748,2121.0,5.0,1950,2126.0,96.0,0,0,,0.0,0.0,6.0,90.0,0.0
2015,2,22,7,AA,1642,N3JBAA,DFW,EWR,800,759.0,-1.0,18.0,817.0,182.0,178.0,155.0,1372,1152.0,5.0,1202,1157.0,-5.0,0,0,,,,,,
2015,7,27,1,AA,2475,N3ARAA,ORD,SFO,1530,1533.0,3.0,15.0,1548.0,282.0,265.0,247.0,1846,1755.0,3.0,1812,1758.0,-14.0,0,0,,,,,,
2015,2,8,7,US,821,N553UW,FLL,CLT,810,808.0,-2.0,11.0,819.0,122.0,134.0,94.0,631,953.0,29.0,1012,1022.0,10.0,0,0,,,,,,
2015,4,1,3,OO,5404,N943SW,ORD,MBS,1703,1718.0,15.0,26.0,1744.0,67.0,68.0,38.0,222,1922.0,4.0,1910,1926.0,16.0,0,0,,1.0,0.0,15.0,0.0,0.0
2015,2,21,6,B6,170,N178JB,FLL,BOS,1611,1610.0,-1.0,15.0,1625.0,187.0,185.0,161.0,1237,1906.0,9.0,1918,1915.0,-3.0,0,0,,,,,,
2015,5,17,7,WN,1138,N352SW,DAL,MCI,1105,1235.0,90.0,10.0,1245.0,85.0,79.0,63.0,460,1348.0,6.0,1230,1354.0,84.0,0,0,,0.0,0.0,0.0,84.0,0.0
2015,10,17,6,B6,494,N531JB,11292,10721,1225,1219.0,-6.0,14.0,1233.0,242.0,220.0,200.0,1754,1753.0,6.0,1827,1759.0,-28.0,0,0,,,,,,
2015,9,2,3,DL,2136,N352NW,ELP,ATL,1135,1134.0,-1.0,11.0,1145.0,190.0,178.0,158.0,1282,1623.0,9.0,1645,1632.0,-13.0,0,0,,,,,,
2015,12,15,2,EV,4265,N11187,IAH,XNA,1917,1916.0,-1.0,18.0,1934.0,92.0,93.0,70.0,438,2044.0,5.0,2049,2049.0,0.0,0,0,,,,,,
2015,4,15,3,OO,4503,N187PQ,DFW,SLC,605,603.0,-2.0,28.0,631.0,164.0,170.0,134.0,989,745.0,8.0,749,753.0,4.0,0,0,,,,,,
2015,6,3,3,DL,2085,N339NW,GEG,SLC,615,609.0,-6.0,9.0,618.0,100.0,99.0,82.0,546,840.0,8.0,855,848.0,-7.0,0,0,,,,,,
2015,12,1,2,MQ,3075,N0EGMQ,ORD,MSN,1040,1030.0,-10.0,13.0,1043.0,55.0,42.0,26.0,108,1109.0,3.0,1135,1112.0,-23.0,0,0,,,,,,
2015,9,20,7,OO,6212,N958SW,DRO,DEN,2010,2058.0,48.0,8.0,2106.0,67.0,57.0,42.0,250,2148.0,7.0,2117,2155.0,38.0,0,0,,0.0,0.0,0.0,38.0,0.0
2015,5,3,7,WN,741,N8618N,CMH,ATL,605,600.0,-5.0,13.0,613.0,95.0,86.0,64.0,447,717.0,9.0,740,726.0,-14.0,0,0,,,,,,
2015,6,2,2,HA,255,N479HA,OGG,HNL,956,950.0,-6.0,5.0,955.0,35.0,34.0,24.0,100,1019.0,5.0,1031,1024.0,-7.0,0,0,,,,,,
2015,10,25,7,OO,5354,N965SW,13184,13930,1633,1623.0,-10.0,18.0,1641.0,76.0,69.0,41.0,222,1622.0,10.0,1649,1632.0,-17.0,0,0,,,,,,
2015,10,21,3,DL,1214,N920AT,11433,11057,720,716.0,-4.0,20.0,736.0,103.0,100.0,74.0,500,850.0,6.0,903,856.0,-7.0,0,0,,,,,,
2015,8,23,7,DL,881,N957DN,ATL,AUS,1215,1307.0,52.0,17.0,1324.0,137.0,128.0,106.0,813,1410.0,5.0,1332,1415.0,43.0,0,0,,0.0,0.0,43.0,0.0,0.0
2015,8,18,2,WN,46,N923WN,PIT,HOU,1440,1436.0,-4.0,10.0,1446.0,185.0,191.0,174.0,1131,1640.0,7.0,1645,1647.0,2.0,0,0,,,,,,
2015,3,20,5,DL,2071,N932DL,RSW,LGA,1239,1223.0,-16.0,16.0,1239.0,171.0,181.0,159.0,1080,1518.0,6.0,1530,1524.0,-6.0,0,0,,,,,,
2015,1,14,3,OO,4683,N455SW,FAT,SLC,1219,1230.0,11.0,12.0,1242.0,102.0,97.0,80.0,501,1502.0,5.0,1501,1507.0,6.0,0,0,,,,,,
2015,1,26,1,AS,66,N794AS,ANC,CDV,1528,1528.0,0.0,11.0,1539.0,54.0,45.0,30.0,160,1609.0,4.0,1622,1613.0,-9.0,0,0,,,,,,
2015,12,4,5,MQ,3420,N831MQ,ORD,COU,1341,1338.0,-3.0,10.0,1348.0,89.0,63.0,51.0,315,1439.0,2.0,1510,1441.0,-29.0,0,0,,,,,,
2015,9,2,3,WN,2918,N776WN,LAS,SJC,610,605.0,-5.0,16.0,621.0,85.0,80.0,58.0,386,719.0,6.0,735,725.0,-10.0,0,0,,,,,,
2015,8,19,3,EV,5313,N849AS,EWN,ATL,600,609.0,9.0,9.0,618.0,86.0,91.0,70.0,433,728.0,12.0,726,740.0,14.0,0,0,,,,,,
2015,1,14,3,F9,1139,N203FR,CLE,LAS,1415,1511.0,56.0,8.0,1519.0,280.0,262.0,244.0,1824,1623.0,10.0,1555,1633.0,38.0,0,0,,0.0,0.0,0.0,38.0,0.0
2015,12,23,3,DL,1430,N830DN,SEA,DTW,1400,1357.0,-3.0,14.0,1411.0,250.0,248.0,225.0,1927,2056.0,9.0,2110,2105.0,-5.0,0,0,,,,,,
2015,2,14,6,WN,4376,N8609A,HOU,DEN,825,818.0,-7.0,9.0,827.0,165.0,152.0,132.0,883,939.0,11.0,1010,950.0,-20.0,0,0,,,,,,
2015,6,19,5,AA,1087,N018AA,ATL,DFW,1750,1751.0,1.0,17.0,1808.0,143.0,132.0,105.0,731,1853.0,10.0,1913,1903.0,-10.0,0,0,,,,,,
2015,8,19,3,WN,400,N486WN,ABQ,MDW,900,859.0,-1.0,7.0,906.0,165.0,155.0,141.0,1121,1227.0,7.0,1245,1234.0,-11.0,0,0,,,,,,
2015,8,9,7,WN,442,N8604K,BWI,SAT,820,831.0,11.0,10.0,841.0,220.0,190.0,176.0,1407,1037.0,4.0,1100,1041.0,-19.0,0,0,,,,,,
2015,7,14,2,OO,5305,N929SW,LAX,MRY,1126,1204.0,38.0,30.0,1234.0,79.0,78.0,44.0,266,1318.0,4.0,1245,1322.0,37.0,0,0,,0.0,0.0,27.0,10.0,0.0
2015,3,9,1,AA,166,N483AA,STL,DFW,1444,1437.0,-7.0,16.0,1453.0,111.0,127.0,97.0,550,1630.0,14.0,1635,1644.0,9.0,0,0,,,,,,
2015,9,15,2,UA,521,N436UA,ORD,SLC,1227,1231.0,4.0,28.0,1259.0,209.0,209.0,173.0,1250,1452.0,8.0,1456,1500.0,4.0,0,0,,,,,,
2015,2,18,3,DL,1656,N654DL,ATL,PBI,1105,1110.0,5.0,30.0,1140.0,110.0,119.0,83.0,545,1303.0,6.0,1255,1309.0,14.0,0,0,,,,,,
2015,10,26,1,AA,2402,N350AA,12892,11298,1235,1255.0,20.0,21.0,1316.0,188.0,178.0,145.0,1235,1741.0,12.0,1743,1753.0,10.0,0,0,,,,,,
2015,5,6,3,EV,5177,N391CA,LGA,RIC,1325,1322.0,-3.0,34.0,1356.0,95.0,94.0,57.0,292,1453.0,3.0,1500,1456.0,-4.0,0,0,,,,,,
2015,5,16,6,OO,4833,N823SK,LAX,OAK,605,559.0,-6.0,24.0,623.0,85.0,84.0,56.0,337,719.0,4.0,730,723.0,-7.0,0,0,,,,,,
2015,3,27,5,DL,2528,N924AT,DTW,ORD,755,753.0,-2.0,18.0,811.0,90.0,95.0,59.0,235,810.0,18.0,825,828.0,3.0,0,0,,,,,,
2015,11,21,6,DL,872,N905DA,DCA,ATL,700,658.0,-2.0,17.0,715.0,118.0,112.0,86.0,547,841.0,9.0,858,850.0,-8.0,0,0,,,,,,
2015,3,12,4,MQ,3470,N690MQ,CMH,ORD,1456,1451.0,-5.0,14.0,1505.0,89.0,97.0,54.0,296,1459.0,29.0,1525,1528.0,3.0,0,0,,,,,,
2015,10,28,3,WN,1676,N8613K,13232,14679,1935,2028.0,53.0,8.0,2036.0,260.0,252.0,241.0,1728,2237.0,3.0,2155,2240.0,45.0,0,0,,0.0,0.0,45.0,0.0,0.0
2015,8,6,4,EV,4145,N11187,IAH,LRD,2116,2111.0,-5.0,10.0,2121.0,68.0,61.0,47.0,301,2208.0,4.0,2224,2212.0,-12.0,0,0,,,,,,
2015,7,26,7,AA,896,N550UW,DFW,PHL,1845,1902.0,17.0,18.0,1920.0,211.0,187.0,164.0,1303,2304.0,5.0,2316,2309.0,-7.0,0,0,,,,,,
2015,6,1,1,HA,311,N481HA,ITO,HNL,1950,1946.0,-4.0,8.0,1954.0,50.0,56.0,36.0,216,2030.0,12.0,2040,2042.0,2.0,0,0,,,,,,
